,id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message,cost
0,0,1,1,1,1,2,10
1,0,1,1,1,2,2,30
2,0,2,2,2,2,2,50
3,0,2,2,2,2,2,70
4,0,2,2,2,2,2,90
5,0,2,2,2,2,2,110
6,0,2,2,2,2,2,130
7,0,2,2,2,2,2,150
8,0,2,2,2,2,2,170
9,0,2,2,2,2,2,190
10,1,1,1,1,2,2,10
11,1,1,1,2,1,1,30
12,1,1,1,2,1,1,50
13,1,1,1,2,2,2,70
14,1,2,2,2,2,2,90
15,1,2,2,2,2,2,110
16,1,2,2,2,2,2,130
17,1,2,2,2,2,2,150
18,1,2,1,2,2,2,170
19,1,2,2,2,2,2,190
20,2,1,1,1,1,1,10
21,2,1,1,1,1,1,30
22,2,1,1,1,1,1,50
23,2,1,1,2,1,1,70
24,2,1,1,2,1,2,90
25,2,1,1,2,1,2,110
26,2,1,1,2,1,2,130
27,2,2,2,2,2,2,150
28,2,2,2,2,2,2,170
29,2,2,2,2,2,2,190
30,3,1,1,1,1,1,10
31,3,1,1,1,1,1,30
32,3,1,1,1,1,1,50
33,3,1,1,1,1,1,70
34,3,1,1,1,1,1,90
35,3,2,2,2,1,2,110
36,3,2,2,2,1,2,130
37,3,2,2,2,2,2,150
38,3,2,2,2,2,2,170
39,3,2,2,2,2,2,190
40,4,1,1,1,1,1,10
41,4,1,1,1,1,1,30
42,4,1,1,1,1,1,50
43,4,1,1,1,1,2,70
44,4,1,1,2,1,2,90
45,4,2,1,2,2,2,110
46,4,2,2,2,2,2,130
47,4,2,2,2,2,2,150
48,4,2,2,2,2,2,170
49,4,2,2,2,2,2,190
50,5,1,1,1,1,1,10
51,5,1,1,1,1,1,30
52,5,1,1,2,1,1,50
53,5,1,1,2,1,2,70
54,5,1,1,2,1,2,90
55,5,1,1,2,1,2,110
56,5,1,1,2,1,2,130
57,5,2,2,2,2,2,150
58,5,2,2,2,2,2,170
59,5,2,2,2,2,2,190
60,6,1,1,1,1,1,10
61,6,1,1,2,1,1,30
62,6,1,1,2,2,1,50
63,6,1,1,2,1,2,70
64,6,1,1,2,1,2,90
65,6,1,1,2,1,2,110
66,6,1,1,2,1,2,130
67,6,2,2,2,1,2,150
68,6,2,2,2,1,2,170
69,6,2,2,2,2,2,190
70,7,1,1,1,1,1,10
71,7,1,1,1,1,2,30
72,7,1,1,1,1,2,50
73,7,1,1,1,1,2,70
74,7,1,1,1,1,2,90
75,7,1,1,2,1,2,110
76,7,2,1,2,1,2,130
77,7,2,2,2,2,2,150
78,7,2,2,2,2,2,170
79,7,2,2,2,2,2,190
80,8,1,1,1,1,1,10
81,8,1,1,1,1,1,30
82,8,1,1,1,1,1,50
83,8,1,1,1,1,1,70
84,8,1,1,2,1,1,90
85,8,1,1,2,1,2,110
86,8,1,1,2,1,2,130
87,8,2,1,2,2,2,150
88,8,2,2,2,2,2,170
89,8,2,2,2,2,2,190
90,9,1,1,1,2,2,10
91,9,1,1,1,1,2,30
92,9,1,1,2,1,2,50
93,9,1,1,2,1,2,70
94,9,1,1,2,1,2,90
95,9,1,1,2,1,2,110
96,9,1,1,2,1,2,130
97,9,2,2,2,2,2,150
98,9,2,2,2,2,2,170
99,9,2,2,2,2,2,190
100,10,1,1,1,1,2,10
101,10,1,1,1,1,2,30
102,10,1,1,1,1,2,50
103,10,1,1,2,1,2,70
104,10,1,1,2,1,2,90
105,10,1,1,2,1,2,110
106,10,2,2,2,1,2,130
107,10,2,2,2,2,2,150
108,10,2,2,2,2,2,170
109,10,2,2,2,2,2,190
110,11,1,2,2,1,2,10
111,11,1,1,2,1,1,30
112,11,1,1,2,1,1,50
113,11,1,1,2,2,2,70
114,11,1,1,2,1,1,90
115,11,2,2,2,1,1,110
116,11,2,2,2,1,2,130
117,11,2,2,2,2,2,150
118,11,2,2,2,2,2,170
119,11,2,2,2,2,2,190
120,13,1,1,1,1,1,10
121,13,1,1,1,1,1,30
122,13,1,1,1,1,1,50
123,13,1,1,2,1,2,70
124,13,1,1,2,1,1,90
125,13,1,1,2,1,2,110
126,13,1,1,2,1,2,130
127,13,2,2,2,1,2,150
128,13,2,2,2,2,2,170
129,13,2,2,2,2,2,190
130,14,2,2,2,2,2,10
131,14,2,2,2,1,2,30
132,14,2,2,2,2,2,50
133,14,2,2,2,2,2,70
134,14,2,2,2,2,2,90
135,14,2,2,2,2,2,110
136,14,2,2,2,2,2,130
137,14,2,2,2,2,2,150
138,14,2,2,2,2,2,170
139,14,2,2,2,2,2,190
140,15,1,1,1,1,1,10
141,15,1,1,1,1,1,30
142,15,1,1,1,1,2,50
143,15,1,1,2,1,2,70
144,15,1,1,2,1,1,90
145,15,1,1,2,1,1,110
146,15,1,1,2,1,1,130
147,15,2,2,2,2,2,150
148,15,2,2,2,2,2,170
149,15,2,2,2,2,2,190
150,16,1,1,1,1,2,10
151,16,1,1,1,1,1,30
152,16,1,1,1,1,1,50
153,16,1,1,1,2,2,70
154,16,1,2,1,2,2,90
155,16,1,1,2,1,2,110
156,16,1,1,2,2,2,130
157,16,2,2,2,2,2,150
158,16,2,2,2,2,2,170
159,16,2,2,2,2,2,190
160,17,1,1,1,1,1,10
161,17,1,1,1,1,2,30
162,17,1,1,1,1,2,50
163,17,1,1,1,1,2,70
164,17,1,1,1,1,2,90
165,17,1,1,2,2,2,110
166,17,1,1,2,2,2,130
167,17,2,2,2,2,2,150
168,17,2,2,2,2,2,170
169,17,2,2,2,2,2,190
170,18,2,2,2,1,2,10
171,18,2,2,2,1,2,30
172,18,2,2,2,1,2,50
173,18,2,2,2,2,2,70
174,18,2,2,2,2,2,90
175,18,2,2,2,2,2,110
176,18,2,2,2,2,2,130
177,18,2,2,2,2,2,150
178,18,2,2,2,2,2,170
179,18,2,2,2,2,2,190
180,20,1,1,1,1,2,10
181,20,1,1,1,1,2,30
