,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_0_0,3,4,130,50,2,2,2,1,200,200,2,1
r_0_1,21,17,30,170,1,2,2,1,220,50,2,1
r_0_2,19,10,30,130,1,2,2,2,220,50,2,2
r_0_3,15,5,110,10,2,1,1,2,50,240,2,1
r_0_4,7,12,110,170,2,2,2,2,200,200,2,2
r_0_5,2,9,90,50,2,1,1,1,50,200,2,2
r_0_6,6,20,130,10,2,1,1,2,50,240,2,1
r_0_7,18,14,50,10,1,1,1,1,150,190,2,2
r_0_8,16,1,130,30,1,1,1,1,70,170,2,2
r_0_9,11,13,150,130,2,2,2,2,200,200,2,2
r_0_10,0,8,110,150,2,2,2,2,200,200,2,2
r_1_0,17,5,170,170,2,2,2,2,200,200,2,2
r_1_1,6,19,10,110,2,2,2,1,200,200,2,1
r_1_2,14,3,10,110,1,2,2,1,240,50,2,1
r_1_3,10,8,190,110,2,2,2,2,200,200,2,2
r_1_4,9,16,10,130,1,1,2,1,190,70,1,2
r_1_5,7,21,190,90,2,1,2,2,50,160,1,1
r_1_6,15,12,190,70,2,2,2,2,200,200,2,2
r_1_7,20,2,10,170,1,2,2,1,240,50,2,1
r_1_8,13,18,150,190,2,2,2,2,200,200,2,2
r_1_9,1,0,130,70,1,2,2,2,120,50,2,2
r_1_10,4,11,30,10,1,1,1,1,170,190,2,2
r_2_0,11,4,110,30,2,1,1,2,50,220,2,1
r_2_1,18,2,190,50,2,1,1,2,50,200,2,1
r_2_2,9,12,110,130,2,2,2,2,200,200,2,2
r_2_3,19,20,150,90,2,1,2,2,50,160,1,1
r_2_4,17,8,190,150,2,2,2,2,200,200,2,2
r_2_5,21,16,90,10,1,1,1,1,110,190,2,2
r_2_6,1,10,150,130,2,2,1,2,200,200,1,2
r_2_7,0,6,50,130,2,2,2,1,200,200,2,1
r_2_8,13,3,90,130,1,2,2,2,160,50,2,2
r_2_9,7,15,30,70,1,2,2,1,220,50,2,1
r_2_10,14,5,10,130,1,2,2,1,240,50,2,1
r_3_0,9,10,10,50,1,1,1,1,190,150,2,2
r_3_1,11,19,130,90,2,2,2,2,200,200,2,2
r_3_2,14,8,10,10,1,1,1,1,190,190,2,2
r_3_3,17,6,150,190,2,2,2,2,200,200,2,2
r_3_4,1,13,150,90,2,1,1,2,50,160,2,1
r_3_5,21,16,50,30,1,1,1,1,150,170,2,2
r_3_6,12,15,110,110,2,2,2,2,200,200,2,2
r_3_7,20,5,90,190,1,2,2,2,160,50,2,2
r_3_8,3,18,70,110,2,2,2,1,200,200,2,1
r_3_9,0,4,70,170,2,2,2,2,200,200,2,2
