,id,p_choices_cm,cost
0,0,1,10
1,0,1,30
2,0,2,50
3,0,2,70
4,0,2,90
5,0,2,110
6,0,2,130
7,0,2,150
8,0,2,170
9,0,2,190
10,1,1,10
11,1,2,30
12,1,2,50
13,1,2,70
14,1,2,90
15,1,2,110
16,1,2,130
17,1,2,150
18,1,2,170
19,1,2,190
20,2,1,10
21,2,1,30
22,2,1,50
23,2,2,70
24,2,2,90
25,2,2,110
26,2,2,130
27,2,2,150
28,2,2,170
29,2,2,190
30,3,1,10
31,3,1,30
32,3,1,50
33,3,1,70
34,3,1,90
35,3,2,110
36,3,2,130
37,3,2,150
38,3,2,170
39,3,2,190
40,4,1,10
41,4,1,30
42,4,1,50
43,4,1,70
44,4,2,90
45,4,2,110
46,4,2,130
47,4,2,150
48,4,2,170
49,4,2,190
50,5,1,10
51,5,1,30
52,5,2,50
53,5,2,70
54,5,2,90
55,5,2,110
56,5,2,130
57,5,2,150
58,5,2,170
59,5,2,190
60,6,1,10
61,6,2,30
62,6,2,50
63,6,2,70
64,6,2,90
65,6,2,110
66,6,2,130
67,6,2,150
68,6,2,170
69,6,2,190
70,7,1,10
71,7,1,30
72,7,1,50
73,7,1,70
74,7,1,90
75,7,2,110
76,7,2,130
77,7,2,150
78,7,2,170
79,7,2,190
80,8,1,10
81,8,1,30
82,8,1,50
83,8,1,70
84,8,2,90
85,8,2,110
86,8,2,130
87,8,2,150
88,8,2,170
89,8,2,190
90,9,1,10
91,9,1,30
92,9,2,50
93,9,2,70
94,9,2,90
95,9,2,110
96,9,2,130
97,9,2,150
98,9,2,170
99,9,2,190
100,10,1,10
101,10,1,30
102,10,1,50
103,10,2,70
104,10,2,90
105,10,2,110
106,10,2,130
107,10,2,150
108,10,2,170
109,10,2,190
110,11,2,10
111,11,2,30
112,11,2,50
113,11,2,70
114,11,2,90
115,11,2,110
116,11,2,130
117,11,2,150
118,11,2,170
119,11,2,190
120,12,1,10
121,12,1,30
122,12,2,50
123,12,2,70
124,12,2,90
125,12,2,110
126,12,2,130
127,12,2,150
128,12,2,170
129,12,2,190
130,13,1,10
131,13,1,30
132,13,1,50
133,13,2,70
134,13,2,90
135,13,2,110
136,13,2,130
137,13,2,150
138,13,2,170
139,13,2,190
140,14,2,10
141,14,2,30
142,14,2,50
143,14,2,70
144,14,2,90
145,14,2,110
146,14,2,130
147,14,2,150
148,14,2,170
149,14,2,190
150,15,1,10
151,15,1,30
152,15,1,50
153,15,2,70
154,15,2,90
155,15,2,110
156,15,2,130
157,15,2,150
158,15,2,170
159,15,2,190
160,16,1,10
161,16,1,30
162,16,1,50
163,16,1,70
164,16,1,90
165,16,2,110
166,16,2,130
167,16,2,150
168,16,2,170
169,16,2,190
170,17,1,10
171,17,1,30
172,17,1,50
173,17,1,70
174,17,1,90
175,17,2,110
176,17,2,130
177,17,2,150
178,17,2,170
179,17,2,190
180,18,2,10
181,18,2,30
182,18,2,50
183,18,2,70
184,18,2,90
185,18,2,110
186,18,2,130
187,18,2,150
188,18,2,170
189,18,2,190
190,19,2,10
191,19,2,30
192,19,2,50
193,19,2,70
194,19,2,90
195,19,2,110
196,19,2,130
197,19,2,150
198,19,2,170
199,19,2,190
200,20,1,10
201,20,1,30
202,20,1,50
203,20,2,70
204,20,2,90
205,20,2,110
206,20,2,130
207,20,2,150
208,20,2,170
209,20,2,190
210,21,2,10
211,21,2,30
212,21,2,50
213,21,2,70
214,21,2,90
215,21,2,110
216,21,2,130
217,21,2,150
218,21,2,170
219,21,2,190
