,id,p_choices_ca,prediction_ca,p_choices_cm,prediction_cm,message
0,0,1,1,1,1,2
1,0,1,1,1,2,2
2,0,2,2,2,2,2
3,0,2,2,2,2,2
4,0,2,2,2,2,2
5,0,2,2,2,2,2
6,0,2,2,2,2,2
7,0,2,2,2,2,2
8,0,2,2,2,2,2
9,0,2,2,2,2,2
10,1,1,1,1,2,2
11,1,1,1,2,1,1
12,1,1,1,2,1,1
13,1,1,1,2,2,2
14,1,2,2,2,2,2
15,1,2,2,2,2,2
16,1,2,2,2,2,2
17,1,2,2,2,2,2
18,1,2,1,2,2,2
19,1,2,2,2,2,2
20,2,1,1,1,1,1
21,2,1,1,1,1,1
22,2,1,1,1,1,1
23,2,1,1,2,1,1
24,2,1,1,2,1,2
25,2,1,1,2,1,2
26,2,1,1,2,1,2
27,2,2,2,2,2,2
28,2,2,2,2,2,2
29,2,2,2,2,2,2
30,3,1,1,1,1,1
31,3,1,1,1,1,1
32,3,1,1,1,1,1
33,3,1,1,1,1,1
34,3,1,1,1,1,1
35,3,2,2,2,1,2
36,3,2,2,2,1,2
37,3,2,2,2,2,2
38,3,2,2,2,2,2
39,3,2,2,2,2,2
40,4,1,1,1,1,1
41,4,1,1,1,1,1
42,4,1,1,1,1,1
43,4,1,1,1,1,2
44,4,1,1,2,1,2
45,4,2,1,2,2,2
46,4,2,2,2,2,2
47,4,2,2,2,2,2
48,4,2,2,2,2,2
49,4,2,2,2,2,2
50,5,1,1,1,1,1
51,5,1,1,1,1,1
52,5,1,1,2,1,1
53,5,1,1,2,1,2
54,5,1,1,2,1,2
55,5,1,1,2,1,2
56,5,1,1,2,1,2
57,5,2,2,2,2,2
58,5,2,2,2,2,2
59,5,2,2,2,2,2
60,6,1,1,1,1,1
61,6,1,1,2,1,1
62,6,1,1,2,2,1
63,6,1,1,2,1,2
64,6,1,1,2,1,2
65,6,1,1,2,1,2
66,6,1,1,2,1,2
67,6,2,2,2,1,2
68,6,2,2,2,1,2
69,6,2,2,2,2,2
70,7,1,1,1,1,1
71,7,1,1,1,1,2
72,7,1,1,1,1,2
73,7,1,1,1,1,2
74,7,1,1,1,1,2
75,7,1,1,2,1,2
76,7,2,1,2,1,2
77,7,2,2,2,2,2
78,7,2,2,2,2,2
79,7,2,2,2,2,2
