,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_0_0,15,10,50,30,2,2,1,1,1,1,150,170,2,2
r_0_1,14,2,150,30,2,1,2,2,1,2,200,200,1,2
r_0_2,4,18,170,70,2,2,2,1,1,2,50,180,2,2
r_0_3,8,6,130,130,2,2,2,2,1,1,200,200,1,1
r_0_4,9,0,10,110,2,2,1,2,1,1,240,50,1,2
r_0_5,19,1,110,110,2,2,2,2,1,2,200,200,1,2
r_0_6,13,7,50,70,1,2,1,1,1,1,150,130,2,2
r_0_7,21,12,90,90,2,2,2,2,2,1,200,200,2,1
r_0_8,17,3,170,10,2,1,2,1,1,2,50,240,2,2
r_0_9,11,5,190,70,2,2,2,2,2,2,200,200,2,2
r_0_10,20,16,110,170,2,2,2,2,2,1,200,200,2,1
r_1_0,6,14,150,110,2,2,2,2,1,2,200,200,1,2
r_1_1,8,0,30,170,1,2,1,2,2,2,220,50,2,1
r_1_2,18,16,90,190,2,2,2,2,2,2,200,200,2,2
r_1_3,19,5,190,10,2,1,2,2,2,2,200,200,2,2
r_1_4,21,20,70,150,2,2,2,2,2,2,200,200,2,2
r_1_5,2,12,110,150,2,2,2,2,2,2,200,200,2,2
r_1_6,7,10,170,150,2,2,2,2,2,2,200,200,2,2
r_1_7,1,11,90,30,2,1,2,2,1,1,200,200,1,1
r_1_8,15,17,10,190,1,2,1,2,2,1,240,50,2,2
r_1_9,3,9,190,10,2,2,2,1,1,2,50,240,2,2
r_1_10,13,4,90,50,1,1,1,1,1,1,110,150,2,2
r_2_0,19,17,70,150,1,2,2,2,2,1,200,200,2,1
r_2_1,13,11,170,170,2,2,2,2,2,2,200,200,2,2
r_2_2,2,16,130,190,2,2,2,2,2,2,200,200,2,2
r_2_3,21,3,50,170,2,2,2,2,2,1,200,200,2,1
r_2_4,18,0,110,30,2,2,2,2,1,2,200,200,1,2
r_2_5,7,4,130,50,2,1,2,1,1,2,50,200,2,2
r_2_6,1,8,150,10,2,1,2,1,2,1,50,240,1,1
r_2_7,15,12,90,30,1,2,2,1,1,1,50,220,2,1
r_2_8,10,5,70,150,2,2,2,2,2,1,200,200,2,1
r_2_9,14,20,170,110,2,2,2,2,2,2,200,200,2,2
r_2_10,6,9,30,170,1,2,2,2,2,1,200,200,2,1
r_3_0,17,8,50,90,2,1,1,1,1,1,150,110,2,2
r_3_1,3,11,190,70,2,2,2,1,1,2,50,180,2,2
r_3_2,16,2,150,70,2,1,2,1,2,2,50,180,1,2
r_3_3,4,19,30,170,1,2,1,2,2,2,220,50,2,1
r_3_4,21,13,170,170,2,2,2,2,2,2,200,200,2,2
r_3_5,14,0,110,130,2,2,2,2,2,2,200,200,2,2
r_3_6,5,12,190,110,2,2,2,2,1,2,200,200,1,2
r_3_7,18,20,130,70,2,2,2,2,2,2,200,200,2,2
r_3_8,7,6,130,90,2,2,2,1,1,1,50,160,2,1
r_3_9,9,10,30,190,2,2,1,2,2,1,220,50,2,2
r_3_10,1,15,190,90,2,1,2,2,2,2,200,200,2,2
r_4_0,4,15,70,70,2,2,1,1,1,1,130,130,2,2
r_4_1,12,19,190,70,2,1,1,2,1,2,60,50,1,1
r_4_2,5,10,70,70,2,2,2,2,1,1,200,200,1,1
r_4_3,16,0,70,70,2,2,1,1,2,2,130,130,1,1
r_4_4,7,18,110,90,2,2,2,1,1,2,50,160,2,2
r_4_5,11,17,90,50,1,2,2,1,1,1,50,200,2,1
r_4_6,6,8,170,50,2,1,2,2,2,2,200,200,2,2
r_4_7,13,20,130,90,2,2,2,2,1,2,200,200,1,2
r_4_8,2,14,70,50,1,2,2,1,1,2,50,200,2,2
r_4_9,9,21,10,70,2,2,1,2,1,2,240,50,1,1
r_4_10,3,1,30,50,1,1,1,1,1,1,170,150,2,2
r_5_0,6,17,130,30,2,2,2,2,1,2,200,200,1,2
r_5_1,3,8,170,50,2,1,2,1,1,2,50,200,2,2
r_5_2,0,7,30,110,2,2,1,2,2,1,220,50,2,2
r_5_3,13,12,30,90,1,2,1,1,1,1,170,110,2,2
r_5_4,19,10,190,170,2,2,2,2,2,2,200,200,2,2
r_5_5,21,4,130,50,2,1,2,2,2,2,200,200,2,2
r_5_6,5,2,150,10,2,1,2,1,1,2,50,240,2,2
r_5_7,1,15,90,30,2,1,2,2,1,1,200,200,1,1
r_5_8,11,14,70,190,2,2,2,2,2,2,200,200,2,2
r_5_9,9,20,50,70,2,2,2,2,1,1,200,200,1,1
r_5_10,18,16,70,90,2,2,2,2,2,2,200,200,2,2
r_6_0,14,1,70,130,2,2,2,2,2,2,200,200,2,2
r_6_1,9,5,110,130,2,2,2,2,1,1,200,200,1,1
r_6_2,4,13,170,70,2,2,2,1,1,2,50,180,2,2
r_6_3,10,2,70,130,2,2,2,2,1,1,200,200,1,1
r_6_4,18,11,50,150,2,2,2,2,2,1,200,200,2,1
r_6_5,16,6,10,70,2,2,1,1,2,1,190,130,1,2
r_6_6,12,17,150,130,2,2,2,2,1,2,200,200,1,2
r_6_7,8,15,10,130,1,1,1,1,1,1,190,70,2,2
r_6_8,3,21,110,190,2,2,2,2,2,2,200,200,2,2
r_6_9,19,20,130,130,2,2,2,2,1,2,200,200,1,2
r_6_10,0,7,150,10,2,1,2,1,1,2,50,240,2,2
r_7_0,18,11,70,130,2,2,2,2,2,2,200,200,2,2
r_7_1,7,5,170,150,2,2,2,2,2,2,200,200,2,2
r_7_2,13,3,130,110,2,2,2,2,1,1,200,200,1,1
r_7_3,19,0,90,130,1,2,2,2,2,2,200,200,2,2
r_7_4,9,1,30,150,2,2,1,2,2,1,220,50,2,2
r_7_5,8,16,130,110,2,2,2,2,1,2,200,200,1,2
r_7_6,15,10,90,30,1,2,2,1,1,1,50,220,2,1
r_7_7,2,14,170,90,2,2,2,2,1,2,200,200,1,2
r_7_8,4,6,50,170,1,2,1,2,2,2,200,50,2,1
r_7_9,21,12,50,10,2,2,2,2,2,2,200,200,2,2
r_7_10,17,20,30,50,2,2,1,1,1,1,170,150,2,2
r_8_0,18,12,150,10,2,2,2,2,1,2,200,200,1,2
r_8_1,2,15,50,190,1,2,1,2,2,1,200,50,2,2
r_8_2,6,5,70,70,2,2,2,2,1,1,200,200,1,1
r_8_3,9,21,50,50,2,2,2,2,1,2,200,200,1,2
r_8_4,1,20,90,190,2,2,2,2,2,2,200,200,2,2
r_8_5,11,3,30,170,1,2,2,2,2,1,200,200,2,1
r_8_6,13,7,130,90,2,2,2,2,1,1,200,200,1,1
r_8_7,16,8,190,10,2,1,2,1,1,2,50,240,2,2
r_8_8,10,0,130,170,2,2,2,2,2,2,200,200,2,2
